id_user,spent,date_created,type_of_purchase
2080898,30,2022-12-13,coins
2080898,48,2022-12-15,crystals
2080898,50,2022-12-16,crystals
2080898,120,2022-12-16,crystals
2080898,120,2022-12-16,crystals
2080898,120,2022-12-16,crystals
2080898,120,2022-12-16,crystals
2485739,16,2022-12-14,crystals
2485739,20,2022-12-14,crystals
2509727,90,2022-12-18,crystals
2509727,220,2022-12-16,crystals
2509727,220,2022-12-17,crystals
2638509,10,2022-12-15,crystals
2638509,30,2022-12-15,crystals
2638509,80,2022-12-15,crystals
2693732,10,2022-12-16,crystals
2693732,80,2022-12-15,crystals
2693732,80,2022-12-15,crystals
2693732,80,2022-12-15,crystals
2693732,80,2022-12-15,crystals
2693732,220,2022-12-17,crystals
2693732,220,2022-12-17,crystals
2693732,320,2022-12-16,crystals
2693732,320,2022-12-16,crystals
2693732,320,2022-12-16,crystals
2899482,90,2022-12-18,crystals
2899482,220,2022-12-17,crystals
2899482,320,2022-12-16,crystals
2923004,5,2022-12-16,crystals
2923004,140,2022-12-19,crystals
2923004,220,2022-12-17,crystals
3035381,5,2022-12-15,crystals
3035381,90,2022-12-13,coins
3300501,90,2022-12-18,crystals
3300501,220,2022-12-16,crystals
3300501,320,2022-12-16,crystals
3417751,220,2022-12-16,crystals
3417751,220,2022-12-16,crystals
3417751,320,2022-12-16,crystals
3687902,20,2022-12-13,coins
3687902,30,2022-12-14,crystals
3789401,5,2022-12-17,crystals
3789401,10,2022-12-16,crystals
3789401,10,2022-12-16,crystals
3789401,10,2022-12-16,crystals
3789401,10,2022-12-16,crystals
3789401,10,2022-12-16,crystals
3789401,10,2022-12-17,crystals
3789401,10,2022-12-17,crystals
3789401,10,2022-12-17,crystals
3789401,10,2022-12-17,crystals
3789401,10,2022-12-17,crystals
3789401,10,2022-12-18,crystals
3789401,10,2022-12-18,crystals
3789401,10,2022-12-18,crystals
3789401,10,2022-12-20,crystals
3789401,10,2022-12-20,crystals
3789401,30,2022-12-16,crystals
3789401,30,2022-12-18,crystals
3789401,50,2022-12-18,crystals
3789401,90,2022-12-17,crystals
3789401,90,2022-12-17,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
3789401,90,2022-12-18,crystals
